SHOE_NAME,Brand,Closure,Collaboration,Designed By,Embellishment,Inspired From,Lace Type,MSRP (USD),Origin,Print,Release Date,Season,Style,Top,Weight (oz)
Adidas Advantage,Adidas,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",65.00,Asian,{},2020,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
Adidas Retropy F90,Adidas,{Laces},,,,,{Flat Lace},100.00,Asian,{},2022,"{Spring, Summer}","{Classic, Chunky}",Low,
Etnies Scout,Etnies,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",60.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Onitsuka Tiger Serrano,Onitsuka Tiger,{Laces},,,,Running,{},75.00,,{},,{},{Classic},Low,
PUMA Anzarun,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",70.00,Asian,{},2020,{Summer},{Sporty},Low,
PUMA RS-Curve,PUMA,{Laces},,,,Running,{Flat Lace},100.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Adidas Gazelle Indoor,Adidas,{Laces},,,,Training,"{Cotton Lace, Flat Lace}",90.00,,{},2019,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike ACG Lowcate,Nike,{Laces},,,,Hiking,"{Cotton Lace, Flat Lace}",115.00,,{},2022,"{Spring, Summer}",{},Low,
Nike SB Dunk Low,Nike,{Laces},,,,Skate,"{Synthetic Lace, Flat Lace}",65.00,,{Camouflage},,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Air Jordan 1 Hi FlyEase,Jordan,"{Zipper, Velcro}",,,,Basketball,"{No Lace, Elastic Lace}",140.00,,{},2021,"{Spring, Summer, Fall}","{Retro, Sporty}",High,
Adidas Nizza Low,Adidas,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",70.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
DC Lynx Zero,DC,{Laces},,,,Skate,"{Synthetic Lace, Flat Lace}",65.00,,{},2021,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Vans Skate SK8-Hi,Vans,{Laces},,,,Skate,{Flat Lace},80.00,,{},2022,"{Spring, Summer}",{Classic},High,
Vans Snow Lodge Slipper,Vans,{Slip-On},,,,Casual,{},70.00,,{},2023,"{Spring, Summer, Fall, Winter}",{Minimalist},Low,
Adidas Pharrell Williams Tennis Hu,Adidas,"{Laces, Slip-On}",Pharrell Williams,,,Tennis,"{Round Lace, Synthetic Lace, No Lace}",130.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Hey Dude Sirocco,Hey Dude,"{Laces, Slip-On}",,,,Casual,{Elastic Lace},75.00,,{},2023,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike Blazer Low 77 Vintage,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",85.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Reebok Pump Omni Zone II,Reebok,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",140.00,Asian,{},2021,"{Spring, Fall}","{Retro, Sporty}",Mid,
Adidas Samba Vegan,Adidas,{Laces},,,,Football,"{Synthetic Lace, Flat Lace}",90.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Air Jordan 1 Centre Court,Jordan,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",135.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Vans BMX Sk8-Hi,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",95.00,,{},2022,"{Spring, Summer, Fall}","{Retro, Sporty}",High,16.0
Teva Ember Moc,Teva,{Slip-On},,,,Hiking,{No Lace},75.00,,{},2019,"{Spring, Summer, Fall}",{Minimalist},Low,7.5
Lakai Griffin,Lakai,{},,,,Skate,{},65.00,,{},2019,{},{},Low,
eS Silo,éS,{},,,,Skate,{},90.00,,{},2019,{},{},Low,
Adidas EQT Support ADV,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,,{},,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Fila Vulc 13,Fila,"{Velcro, Laces}",,,,Casual,{No Lace},60.00,,{},2020,{Spring},{Sporty},Mid,
Fila Ray Tracer,Fila,{Laces},,,,Casual,"{Round Lace, Synthetic Lace}",75.00,,"{Leopard, Zebra, Animal}",2019,"{Spring, Fall}","{Retro, Dad, Sporty, Chunky}",Low,
Nike Air Max Pre-Day LX,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",140.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
Vans Old Skool Stackform,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",95.00,,"{Floral, Checkered}",2022,"{Spring, Summer}","{Sporty, Platform}",Low,19.0
New Balance Vision Racer,New Balance,{Laces},Jaden Smith,,,Running,"{Round Lace, Synthetic Lace}",150.00,,{Rainbow},2020,"{Spring, Summer, Fall}","{Sporty, Chunky}",Low,
Nike SB BLZR Court,Nike,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Skechers Vigor 3.0,Skechers,{Laces},,,,Training,"{Round Lace, Synthetic Lace}",90.00,,{},2022,"{Spring, Summer}","{Dad, Sporty}",,13.0
Diadora N9002,Diadora,{Laces},,,,Running,{Flat Lace},120.00,,{},2022,"{Spring, Summer}","{Classic, Sporty, Chunky}",Low,
Nike Court Vision Mid Winter,Nike,{Laces},,,,Basketball,{Flat Lace},95.00,,{},2022,"{Fall, Winter}","{Retro, Dad, Sporty}",Mid,
Nike ACG Air Mada,Nike,{Laces},,,,Hiking,{},130.00,Asian,{},2022,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,12.0
Vans Skate Authentic,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",70.00,,{},2022,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Puma Rider FV,PUMA,{Laces},,,,Running,{Flat Lace},90.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Nike Air Max LTD 3,Nike,{Laces},,,,Basketball,{Flat Lace},125.00,Asian,{},2022,"{Fall, Winter}",{Sporty},Low,
Gucci Flashtrek,Gucci,{Laces},,,Crystal,Hiking,"{Round Lace, Synthetic Lace}",1590.00,Italian,{},2020,"{Spring, Summer}",{Chunky},Low,
Nike Zoom Pulse,Nike,{Slip-On},,,,Casual,{No Lace},120.00,,{},2020,"{Spring, Summer, Fall}",{Minimalist},Low,
Reebok Aztrek,Reebok,{Laces},,Christian Tresser,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer}","{Classic, Dad, Sporty}",Low,
Tretorn Rawlins,Tretorn,{Laces},,,,Tennis,{Cotton Lace},85.00,Asian,{},2019,"{Spring, Summer}","{Retro, Classic, Sporty}",Low,
PUMA Suede Classic XXI,PUMA,{Laces},,,,,"{Cotton Lace, Flat Lace}",70.00,Asian,{},2022,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,14.0
Jordan True Flight,Jordan,{Laces},,,,Basketball,{Round Lace},140.00,,{},,"{Spring, Fall}","{Retro, Sporty}",High,15.8
Nike Free Terra Vista,Nike,{Laces},,,,Running,{Round Lace},120.00,,{},2022,"{Fall, Winter}","{Sporty, Chunky}",Low,
Adidas Seeley XT,Adidas,{Laces},,,,Skate,{},65.00,,{},2020,{},{Retro},Low,
Etnies Kingpin,Etnies,{},,,,Skate,{},60.00,,{},,{},{},Low,
Vans Old Skool V,Vans,{Velcro},,,,Skate,{No Lace},75.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,
Cole Haan Generation Zerogrand,Cole Haan,{Laces},,,,Casual,{},120.00,,{},2020,{Summer},"{Classic, Dressy}",Low,
PUMA R78,PUMA,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",60.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
DC Pure,DC,{},,,,Skate,{},70.00,,{},,{},{},Low,
Reebok Classic Leather Legacy AZ,Reebok,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",110.00,,{},2022,{Summer},"{Retro, Sporty}",Low,
Vans BMX Slip-On,Vans,{Slip-On},,,,,{No Lace},75.00,,{},2021,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Emerica Wino G6 Slip-On,Emerica,{Slip-On},,,,Skate,{No Lace},65.00,,{},2019,"{Spring, Summer}",{Minimalist},Low,
Reebok BB 4000 II,Reebok,{Laces},,,,Basketball,{Flat Lace},90.00,,{},2023,{Fall},"{Retro, Classic, Sporty}",Low,
Nike Internationalist,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Adidas Continental 80 Stripes,Adidas,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",100.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
ASICS Gel-Mc Plus,ASICS,{Laces},,,,Running,{Flat Lace},100.00,,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,15.4
PUMA City Rider,PUMA,{Laces},,,,Running,{Cotton Lace},80.00,,{},2021,{Summer},"{Retro, Sporty}",Low,
Nike SB Zoom Blazer Mid Premium,Nike,{Laces},,,,Skate,"{Cotton Lace, Round Lace, Synthetic Lace, Flat Lace}",90.00,Asian,{},2020,"{Spring, Fall}","{Retro, Sporty, Minimalist, Deconstructed}",Mid,
Jordan Flight Club 91,Jordan,{Laces},,,,Basketball,{},130.00,,{},,{},{Retro},High,
Reebok Club C Revenge Vintage,Reebok,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",85.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas Hyperturf Adventure,Adidas,"{Pull Toggle, Laces}",,,,Hiking,"{Round Lace, Toggle Lace}",140.00,,{},2023,"{Fall, Winter}","{Dad, Sporty}",Low,
Adidas Samoa,Adidas,{Laces},,,,Training,"{Cotton Lace, Flat Lace}",70.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Nike Shox R4,Nike,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",140.00,,{},2019,"{Spring, Fall}","{Retro, Sporty}",Low,
Nike Air Max 90 NRG,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",140.00,Asian,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
Vans Checkerboard SK8-Hi,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",85.00,,{Checkered},,"{Spring, Fall}","{Retro, Sporty}",High,
Vans Ave Pro,Vans,{Laces},Anthony Van Engelen,,,Skate,"{Cotton Lace, Flat Lace}",100.00,,{},2020,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Vans UltraRange Rapidweld,Vans,{Laces},,,,,{Flat Lace},80.00,,"{Tiger, Animal}",,{Summer},"{Retro, Sporty}",Low,
Merrell Hut Moc,Merrell,{Slip-On},,,,Casual,{No Lace},80.00,,{},2020,"{Spring, Summer}",{},Low,12.3
Nike SB Shane,Nike,{Laces},Shane O'Neil,,,Skate,"{Cotton Lace, Flat Lace}",85.00,Asian,{},2020,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
PUMA Mirage Sport Remix,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",100.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
Etnies Jameson 2 Eco,Etnies,{},,,,Skate,{},60.00,,{},,{},{},Low,
DC Pure High-Top,DC,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",75.00,,{},2019,"{Spring, Fall}",{Sporty},High,
Veja Recife,Veja,{Velcro},,,,Tennis,"{Cotton Lace, No Lace, Flat Lace}",150.00,,{},2022,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike Blazer Mid 77 Premium,Nike,{Laces},,,,Basketball,{Flat Lace},115.00,Asian,{},2023,"{Fall, Winter}","{Classic, Sporty, Minimalist}",Mid,
Cole Haan Grand Crosscourt Sneaker,Cole Haan,{Laces},,,,Tennis,{},150.00,,{},2019,{},"{Sporty, Minimalist, Dressy}",Low,
Air Jordan 1 Zoom CMFT,Jordan,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",140.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty}",High,
Air Jordan 11 Retro,Jordan,{Laces},,,,Basketball,{Round Lace},220.00,,{},,"{Spring, Summer}",{Sporty},High,14.7
Adidas Basket Profi,Adidas,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",80.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Mid,
Adidas Questar Flow,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",75.00,,{},2019,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Skechers Stamina - Cutback,Skechers,{Laces},,,,Training,"{Synthetic Lace, Elastic Lace}",75.00,,{},,"{Spring, Fall}","{Sporty, Chunky}",Low,13.0
Adidas ZX Torsion,Adidas,{Laces},,Jacques Chassaing,,Running,"{Cotton Lace, Flat Lace}",140.00,,{},2019,"{Spring, Summer}","{Retro, Sporty}",Low,
Osiris Clone,Osiris,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",62.00,,{},2019,"{Spring, Fall}","{Sporty, Chunky}",High,
Lacoste Gripshot,Lacoste,{Laces},,,,Casual,{Flat Lace},90.00,,{},2022,"{Spring, Summer}",{Minimalist},Low,
Adidas ZX 2K Boost 2.0,Adidas,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",150.00,,{},2022,"{Spring, Summer}",{},Low,15.0
ASICS Gel-Preleus,ASICS,{Laces},,,,Running,{Flat Lace},100.00,,{},2022,"{Spring, Summer}","{Dad, Sporty}",Low,
New Balance 574 Classic,New Balance,{Laces},,Steven Smith,,Running,"{Cotton Lace, Flat Lace}",80.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
DVS Comanche,DVS,{Laces},,,,Skate,{},70.00,,{},2019,{},{},Low,
Hey Dude Bradley,Hey Dude,{Laces},,,,Casual,"{Synthetic Lace, Flat Lace}",85.00,,{},2022,"{Spring, Fall}","{Minimalist, Dressy}",Low,9.5
Adidas Puig Indoor,Adidas,{Laces},Lucas Puig,,,Skate,{Flat Lace},85.00,,{},2022,"{Spring, Summer, Fall}",{Sporty},Low,
Adidas Nizza Hi,Adidas,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",80.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",High,
Globe Fusion,Globe,{Laces},,,,Skate,{Flat Lace},100.00,,{},2022,"{Spring, Summer}",{Sporty},Low,17.8
TOMS Payton,TOMS,"{Laces, Slip-On}",,,,Casual,"{No Lace, Flat Lace}",60.00,,{},2019,{Summer},{Minimalist},Low,
Vans Checkerboard Old Skool,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",60.00,,{Checkered},,"{Spring, Summer}","{Retro, Sporty}",Low,
PUMA Rebound JOY,PUMA,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",65.00,,{},2022,"{Spring, Fall}","{Retro, Sporty}",Mid,
Nike LeBron 9,Nike,{},,,,Basketball,{Flat Lace},230.00,,{},2022,"{Spring, Summer}",{},High,
Converse Chuck Taylor All Star 70 High,Converse,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",85.00,,{},2022,"{Spring, Summer}","{Retro, Sporty, Minimalist}",High,
Balenciaga Track Led,Balenciaga,{Laces},,,,Running,{Cotton Lace},1350.00,,{},,"{Spring, Summer}","{Dad, Sporty, Futuristic, Chunky, Deconstructed}",Low,
Nike React Presto,Nike,"{Laces, Slip-On}",,,,Running,"{Round Lace, Synthetic Lace, No Lace}",130.00,Asian,"{Tiger, Animal}",2019,"{Spring, Summer}","{Retro, Sporty, Futuristic, Chunky}",Low,
Converse Weapon CX,Converse,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",120.00,,{},2021,"{Spring, Summer, Fall}","{Retro, Sporty, Platform, Chunky}",Mid,
Skechers Uno 2,Skechers,{Laces},,,,Training,{Flat Lace},85.00,,"{Leopard, Animal}",2023,"{Spring, Summer}","{Sporty, Wedge}",Low,
Nike Air Flight 89,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2020,"{Spring, Summer, Fall}","{Classic, Sporty}",Mid,
Adidas Busenitz Vintage,Adidas,{Laces},Dennis Busenitz,,,Skate,"{Synthetic Lace, Flat Lace}",85.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Vans Crockett High,Vans,{Laces},Gilbert Crockett,,,Skate,{Flat Lace},75.00,Asian,{},2022,"{Spring, Summer, Fall}",{Minimalist},High,
Adidas Yeezy 350 Boost,Adidas,"{Laces, Slip-On}",Kanye West,,,Casual,"{Round Lace, Synthetic Lace, No Lace}",200.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike Offline Pack,Nike,{Laces},,,,,{Round Lace},120.00,Asian,{},2022,"{Spring, Fall}",{Platform},Low,
Nike Air Max 96 II,Nike,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",160.00,Asian,{},2021,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
Lacoste Powercourt,Lacoste,{Laces},,,,Tennis,{Flat Lace},95.00,,{},2022,"{Spring, Summer}","{Retro, Classic, Minimalist}",Low,
PUMA Prowl Slip-On,PUMA,{Slip-On},,,,Training,{No Lace},65.00,,{},2020,{Summer},{Sporty},Low,
Nike Spark Flyknit,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",185.00,,{},,"{Spring, Summer}","{Sporty, Futuristic}",Low,
New Balance Numeric 440 High,New Balance,{Laces},,Jerry Lorenzo,,Skate,{Flat Lace},85.00,,{},2022,"{Spring, Summer}","{Retro, Minimalist}",High,
Skechers D'Lites,Skechers,{Laces},,,,Casual,"{Synthetic Lace, Flat Lace}",70.00,,{},,"{Spring, Fall}","{Dad, Sporty, Chunky}",Low,
Reebok BB 4600,Reebok,{Laces},,,,Basketball,{},90.00,,{},2020,"{Spring, Summer}",{Retro},High,
Nike Air Cross Trainer 3 Low,Nike,{Laces},,,,Training,"{Cotton Lace, Flat Lace}",120.00,,{},2020,"{Spring, Summer}","{Retro, Dad, Sporty}",Low,
DC Crisis 2,DC,{Laces},,,,Skate,{Flat Lace},65.00,,{},,"{Spring, Summer}",{Sporty},Low,12.0
Adidas Busenitz Vulc 2,Adidas,{Laces},Dennis Busenitz,,,Skate,{},70.00,,{},2022,{Summer},"{Retro, Classic, Minimalist}",,
Adidas Lite Racer,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",80.00,,{},2020,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Globe Sabre,Globe,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",115.00,,{},2022,"{Spring, Summer}",{Sporty},Low,19.0
Adidas Handball Spezial,Adidas,{Laces},,,,,"{Synthetic Lace, Flat Lace}",100.00,,{},,"{Spring, Fall}","{Retro, Sporty, Minimalist}",Low,
Onitsuka Tiger Corsair,Onitsuka Tiger,{Laces},,,,Running,{},110.00,,{},,{},{Classic},Low,
ASICS Gel Saga,ASICS,{Laces},,,,Running,{},100.00,,{},,{},{Retro},Low,
Vans BMX Old Skool,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",85.00,,{},2022,"{Spring, Summer}",{Classic},Low,
Supra Skytop,Supra,{Laces},,,,Skate,{},120.00,,{},,{Winter},{},High,
New Balance 850,New Balance,{Laces},,Stephanie Howard,,Running,"{Round Lace, Synthetic Lace}",100.00,,{},2020,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,
Adidas SL 7600,Adidas,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",150.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Ariat Spitfire,Ariat,"{Laces, Slip-On}",,,,Casual,"{Synthetic Lace, No Lace, Flat Lace}",100.00,,{},2020,"{Spring, Fall}","{Dressy, Sneakerboots}",Mid,
Nike Air Max 2090 EOI,Nike,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",160.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Supra Vaider,Supra,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",100.00,,{Camouflage},,"{Spring, Fall}",{Sporty},High,
Nike Blazer Mid Pro Club,Nike,{Laces},,,,Basketball,{Flat Lace},115.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Classic, Sporty}",Mid,
Clarks Tor Run,Clarks,{Laces},,,,Casual,{Cotton Lace},180.00,European,{},2022,"{Spring, Summer}",{Retro},Low,
New Balance 990 v3,New Balance,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",155.00,,{},,"{Spring, Summer}","{Retro, Dad, Sporty, Chunky}",Low,13.4
Adidas Hamburg,Adidas,{Laces},,,,Training,"{Cotton Lace, Flat Lace}",100.00,,{},,"{Spring, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Court Royale 2 Mid,Nike,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",65.00,,{},2021,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Mid,
Balenciaga Defender,Balenciaga,{Slip-On},,,,,"{Round Lace, No Lace}",1250.00,Asian,{},2022,{Summer},"{Dad, Chunky}",Low,
Native Jefferson Bling,Native,{Slip-On},,,,Casual,{No Lace},70.00,,{},2020,{Summer},{},Low,
Nike Air Max 3,Nike,{Laces},,Tinker Hatfield,,Running,{Flat Lace},140.00,Asian,{},2020,"{Spring, Summer}","{Classic, Sporty}",Low,
Adidas X9000L4,Adidas,"{Laces, Slip-On}",,,,Running,"{Cotton Lace, No Lace, Flat Lace}",150.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,9.0
PUMA California,PUMA,{Laces},,,,Tennis,"{Synthetic Lace, Flat Lace}",70.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,
DC Net,DC,{},,,,Skate,{},70.00,,{},,{},{},Low,
Adidas Samba ADV,Adidas,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Lakai Atlantic,Lakai,{Laces},Vincent Alvarez,,,Skate,{},72.00,,{},2019,{},{},Low,
PUMA Easy Rider,PUMA,{Laces},,,,Running,{Flat Lace},65.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,
Converse Chuck 70 Plus,Converse,{Laces},,,,Basketball,{Flat Lace},100.00,,{},2022,"{Spring, Summer}","{Retro, Platform}",High,
Air Jordan 9 Retro,Jordan,{Laces},,,,Basketball,{Round Lace},190.00,,{},,"{Spring, Summer}",{Sporty},High,17.2
Veja V-12,Veja,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",150.00,,{},2021,"{Spring, Fall}","{Classic, Sporty, Minimalist}",Low,
Vans Flame Slip-On,Vans,{Slip-On},,,,Skate,{No Lace},55.00,,{Flame},,"{Spring, Summer}",{Retro},Low,
Cole Haan 4.Zerogrand Sneaker,Cole Haan,{Laces},,,,Casual,"{Round Lace, Synthetic Lace}",170.00,,{},2022,"{Spring, Summer}",{Dressy},Low,12.0
Nike SB Zoom Blazer Low Pro GT,Nike,{Laces},Grant Taylor,,,Skate,"{Cotton Lace, Flat Lace}",80.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Dunk Low SE,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",110.00,,{Camouflage},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike WearAllDay,Nike,{Laces},,,,Training,"{Cotton Lace, Flat Lace}",65.00,Asian,{},2020,"{Spring, Summer}",{Sporty},Low,10.0
Vans Authentic 44 DX,Vans,{Laces},,,Embroidered,Skate,"{Cotton Lace, Flat Lace}",120.00,,"{Floral, Checkered}",2022,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Etnies Joslin,Etnies,{},Chris Joslin,,,Skate,{},80.00,,{},,{},{},Low,
New Balance Fresh Foam Sport,New Balance,"{Laces, Slip-On}",,,,Running,"{Cotton Lace, No Lace}",75.00,,{},2020,"{Spring, Summer}",{Sporty},Low,
Skechers Respected - Loleto,Skechers,{Slip-On},,,,Casual,{No Lace},85.00,,{},,"{Spring, Summer}",{Sporty},Low,
Nike Waffle Racer Crater,Nike,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",100.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas LXCON,Adidas,"{Laces, Slip-On}",,,,Running,"{Round Lace, Synthetic Lace, No Lace}",120.00,,{},2019,"{Spring, Summer}","{Retro, Sporty}",Low,
Cole Haan Zerogrand Stitchlite Oxford,Cole Haan,{Laces},,,,,{Cotton Lace},185.00,Asian,{},2022,"{Spring, Summer}",{Dressy},Low,
PUMA Mirage Tech,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},2021,"{Spring, Summer}",{Sporty},Low,15.8
Adidas ZX 9000,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",130.00,Asian,{},2023,"{Spring, Summer}",{Sporty},Low,
ECCO ST.1,ECCO,{Laces},,,,Casual,{},190.00,,{},2020,"{Fall, Winter}",{Retro},Low,11.0
PUMA CELL Venom,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,,{},2019,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Adidas Postmove,Adidas,{Laces},,,,Basketball,{Flat Lace},70.00,,{},2022,"{Spring, Fall}","{Classic, Minimalist}",Low,
Adidas Swift Run X,Adidas,"{Laces, Slip-On}",,,,Running,"{Cotton Lace, No Lace, Flat Lace}",85.00,,{},2021,{Summer},"{Sporty, Minimalist, Sock}",Low,
PUMA Graviton,PUMA,{Laces},,,,Running,{Flat Lace},65.00,Asian,{},2022,"{Spring, Summer}",{},Low,20.1
Reebok LT Court,Reebok,{Laces},,,,Tennis,{Flat Lace},100.00,,{},2022,"{Spring, Summer}","{Retro, Classic, Sporty}",Low,16.8
Adidas Nora,Adidas,{Laces},,,,Skate,{Flat Lace},80.00,Asian,{},2022,"{Spring, Summer}",{Classic},Low,
Air Jordan 1 Retro Low,Jordan,{Laces},,,,Basketball,{Flat Lace},130.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
Etnies Windrow,Etnies,{Laces},,,,Skate,{Flat Lace},83.00,,{},2022,"{Spring, Summer}",{Sporty},Low,12.0
Adidas Continental Vulc,Adidas,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",65.00,,{},2019,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Adidas EQT Support 93/17,Adidas,{Laces},,Peter Moore,,Running,"{Cotton Lace, Elastic Lace}",180.00,,{},,"{Spring, Summer}",{Sporty},Low,
Onitsuka Tiger New York,Onitsuka Tiger,{Laces},,,,Casual,{},80.00,,{},2019,{},{},Low,
Nike Air Max Plus III,Nike,{Laces},,Sean McConnell,,Running,"{Cotton Lace, Flat Lace}",190.00,Asian,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike Daybreak-Type,Nike,{Laces},,,,Running,{Flat Lace},90.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Vans Sentry Old Skool,Vans,{Laces},,,,Skate,{Flat Lace},90.00,,{Checkered},2022,"{Spring, Summer}","{Retro, Sporty, Platform}",Low,
