SHOE_NAME,Brand,Cut,Fit,MSRP (USD),Origin,Orthotic Friendly,Release Date,Season,Use,Waterproofing,Weight (oz),Widths Available,Zero Drop
Kenetrek Hardscrabble Hiker,Kenetrek,High,{},420.00,Italian,True,,{},{Day},Waterproof,29.6,"{Narrow, Standard, Wide}",False
Merrell Thermo Snowdrift Mid Shell Waterproof,Merrell,Mid,{},130.00,,True,2020,{Winter},"{Day, Snow}",Waterproof,16.8,{Standard},False
Hi-Tec Skamania Mid WP,Hi-Tec,Mid,{},80.00,,True,,{},{Day},Waterproof,24.0,"{Standard, Wide}",False
KEEN Tempo Flex Mid WP,KEEN,Mid,{Narrow Heel},110.00,,True,2022,{},"{Day, Speed}",Waterproof,16.0,{Standard},False
Adidas Terrex Free Hyperblue Mid,Adidas,Mid,{},220.00,,True,2022,{},"{Day, Urban}",,,{Standard},False
Asolo TPS 535 LTH V Evo,Asolo,Mid,{Wide Toebox},275.00,European,True,,{},{Backpacking},Water Repellent,28.2,"{Standard, Wide}",False
Meindl Journey Mid GTX,Meindl,Mid,{Wide Toebox},175.00,,True,,{},{Day},Waterproof,16.2,{Standard},False
Danner 453,Danner,Mid,{},200.00,,True,,{},{Backpacking},Waterproof,25.0,"{Standard, Wide}",False
Columbia Redmond V2 Mid Waterproof,Columbia,Mid,{},100.00,,True,2019,{},{Day},Waterproof,24.8,"{Standard, Wide}",False
Mammut Mercury IV Mid GTX,Mammut,Mid,{},225.00,,False,2023,{},{Day},Waterproof,,{Standard},False
Mammut Mercury Tour II High GTX,Mammut,High,{},199.00,German,True,2020,{},{Backpacking},Waterproof,21.2,{Standard},False
Hoka Toa GTX,Hoka,Mid,{},170.00,,True,2021,{},{Speed},Waterproof,15.1,{Standard},False
Teva Gateway Mid,Teva,Mid,{},110.00,,True,2021,{Summer},"{Day, Urban, Light}",Water Repellent,10.0,{Standard},False
Astral Pisgah,Astral,Mid,{},150.00,,False,2022,{},"{Day, Urban}",Waterproof,12.8,{Standard},True
Lems Boulder Boot Nylon,Lems,Mid,{Wide Toebox},125.00,,True,2019,{},{Light},Water Repellent,9.9,{Standard},True
Columbia Bugaboot III XTM,Columbia,High,{},150.00,,True,2022,{Winter},"{Day, Snow}",Waterproof,27.2,{Standard},False
Haglöfs Skuta Mid Proof Eco,Haglöfs,Mid,{Wide Toebox},120.00,,True,2020,{},{Backpacking},Waterproof,16.8,{Standard},False
Eddie Bauer Cairn Mid,Eddie Bauer,Mid,{},180.00,,True,,{},{Day},Waterproof,17.0,{Standard},False
Merrell Wilderness,Merrell,High,{},400.00,USA,True,,{},"{Backpacking, Alpine}",Waterproof,28.0,{Standard},False
Timberland Euro Rock Hiker,Timberland,Mid,{},140.00,,True,2019,{},"{Day, Urban}",,12.0,{Standard},False
Merrell Ontario Mid,Merrell,Mid,{},120.00,,True,2019,{Summer},{Day},,15.7,{Standard},False
Merrell Accentor 2 Vent Mid,Merrell,Mid,{},100.00,,True,2020,{Summer},{Day},,15.0,{Standard},False
Aku Trekker Lite III GTX,Aku,Mid,{},170.00,European,True,2020,{},{Day},Waterproof,20.1,"{Standard, Wide}",False
Ariat Moresby,Ariat,High,{},210.00,,True,2022,{},{Day},Waterproof,,{Standard},False
"Oboz Bridger 8"" Insulated BDry",Oboz,High,{},185.00,,True,2019,{Winter},"{Day, Snow}",Waterproof,24.6,"{Standard, Wide}",False
Zamberlan 1025 Tofane NW GT RR,Zamberlan,Mid,{Narrow Heel},470.00,Italian,True,,{},{Backpacking},Waterproof,34.2,{Standard},False
Berghaus Fellmaster GTX,Berghaus,High,{},180.00,,True,,{},{Day},Waterproof,23.8,{Standard},False
Salewa Alp Trainer Mid GTX,Salewa,Mid,{},200.00,,True,,{},"{Backpacking, Alpine}",Waterproof,19.6,{Standard},False
Aku Tengu Lite GTX,Aku,Mid,{},200.00,European,True,2020,{},{Backpacking},Waterproof,18.0,{Standard},False
Scarpa ZG Lite GTX,Scarpa,High,{},200.00,,True,2020,{},"{Backpacking, Speed}",Waterproof,21.3,{Standard},False
Hi-Tec Altitude VI I WP,Hi-Tec,Mid,{},80.00,,True,2020,{},{Day},Waterproof,17.6,"{Standard, Extra Wide}",False
Inov-8 Roclite 335,Inov-8,Mid,{},150.00,,True,2019,{Winter},{Snow},,11.8,{Standard},False
Vivobarefoot Tracker II FG,Vivobarefoot,Mid,{Wide Toebox},260.00,,True,2022,{Winter},"{Day, Urban, Snow}",Waterproof,11.6,"{Standard, Wide}",False
KEEN Durand Mid Waterproof,KEEN,Mid,{},180.00,USA,True,,{},{Day},Waterproof,22.4,{Standard},False
Aku Superalp NBK GTX,Aku,High,{},210.00,Italian,True,,{},{Backpacking},Waterproof,28.6,{Standard},False
Aku Tribute II LTR,Aku,High,{Narrow Heel},190.00,Italian,True,,{},{Backpacking},,21.9,{Standard},False
Vasque Coldspark UltraDry,Vasque,Mid,{Wide Toebox},140.00,,True,,{Winter},"{Day, Snow}",Waterproof,20.0,{Standard},False
Oboz Sawtooth II Mid BDry,Oboz,Mid,{Wide Toebox},150.00,,True,2019,{},{Day},Waterproof,19.0,"{Standard, Wide}",False
Salomon X Ultra Mid Winter CS WP,Salomon,Mid,{},160.00,,True,2020,{Winter},"{Day, Snow}",Waterproof,18.7,{Standard},False
La Sportiva Stream GTX,La Sportiva,Mid,{},200.00,,True,,{},{Day},Waterproof,14.4,"{Narrow, Standard}",False
Vasque Breeze WT GTX,Vasque,Mid,{},200.00,,True,2021,{Winter},"{Day, Snow}",Waterproof,22.8,{Standard},False
Lowa Ticam II GTX,Lowa,Mid,{},395.00,German,True,,{},{Backpacking},Waterproof,28.8,"{Standard, Wide}",False
Meindl Litepeak GTX,Meindl,High,{},220.00,,True,2019,{},{Backpacking},Waterproof,21.2,{Standard},False
Meindl Kapstadt GTX,Meindl,Mid,{},195.00,,True,2019,{},{Backpacking},Waterproof,17.3,{Standard},False
Meindl Vakuum Ultra,Meindl,High,{},180.00,,True,,{},{Day},Waterproof,21.9,{Standard},False
Merrell Moab FST Ice+ Thermo,Merrell,Mid,{},160.00,,True,2020,{Winter},"{Day, Snow}",Waterproof,31.6,{Standard},False
Millet Bouthan GTX,Millet,Mid,{Wide Toebox},260.00,European,True,2020,{},"{Backpacking, Alpine}",Waterproof,28.0,"{Standard, Wide}",False
Lowa Renegade LL Mid,Lowa,Mid,{},240.00,European,True,,{Summer},{Day},,20.7,{Standard},False
Garmont Integra High WP Thermal,Garmont,High,{},180.00,,True,2020,{Winter},"{Backpacking, Snow}",Waterproof,18.3,{Standard},False
Merrell Thermo Rogue Mid GTX,Merrell,Mid,{},200.00,,True,2019,{Winter},"{Day, Snow}",Waterproof,16.9,{Standard},False
Eddie Bauer Lukla Pro Mid Hiker,Eddie Bauer,Mid,{},160.00,,True,,{},{Backpacking},Waterproof,16.6,{Standard},False
Meindl Ohio 2 GTX,Meindl,Mid,{},135.00,,True,2020,{},{Day},Waterproof,21.2,{Standard},False
Lowa Tibet Superwarm GTX,Lowa,Mid,{},435.00,German,True,,{Winter},"{Backpacking, Snow}",Waterproof,32.1,{Standard},False
Merrell Thermo Rhea Mid Waterproof,Merrell,High,{},200.00,,True,2022,{Winter},"{Day, Snow}",Waterproof,,{Standard},False
KEEN Karraig Mid WP,KEEN,Mid,{},250.00,European,True,2020,{},{Backpacking},Waterproof,29.3,{Standard},False
Lowa Trident III GTX,Lowa,Mid,{},225.00,European,True,2022,{Winter},"{Day, Snow}",Waterproof,18.3,{Standard},False
